Time,IMF_Bz_nT
2024-12-31T00:00:00Z,3.68
2024-12-31T00:01:00Z,3.35
2024-12-31T00:02:00Z,3.49
2024-12-31T00:03:00Z,3.48
2024-12-31T00:04:00Z,3.52
2024-12-31T00:05:00Z,2.99
2024-12-31T00:06:00Z,2.51
2024-12-31T00:07:00Z,2.92
2024-12-31T00:08:00Z,3.06
2024-12-31T00:09:00Z,3.03
2024-12-31T00:10:00Z,3.04
2024-12-31T00:11:00Z,2.53
2024-12-31T00:12:00Z,2.38
2024-12-31T00:13:00Z,2.33
2024-12-31T00:14:00Z,2.42
2024-12-31T00:15:00Z,2.61
2024-12-31T00:16:00Z,2.86
2024-12-31T00:17:00Z,2.45
2024-12-31T00:18:00Z,2.12
2024-12-31T00:19:00Z,1.73
2024-12-31T00:20:00Z,0.48
2024-12-31T00:21:00Z,-0.47
2024-12-31T00:22:00Z,0.39
2024-12-31T00:23:00Z,0.36
2024-12-31T00:24:00Z,0.59
2024-12-31T00:25:00Z,0.41
2024-12-31T00:26:00Z,0.58
2024-12-31T00:27:00Z,0.44
2024-12-31T00:28:00Z,0.66
2024-12-31T00:29:00Z,-0.04
2024-12-31T00:30:00Z,0.04
2024-12-31T00:31:00Z,1.07
2024-12-31T00:32:00Z,1.48
2024-12-31T00:33:00Z,2.01
2024-12-31T00:34:00Z,1.49
2024-12-31T00:35:00Z,1.58
2024-12-31T00:36:00Z,1.25
2024-12-31T00:37:00Z,1.36
2024-12-31T00:38:00Z,1.79
2024-12-31T00:39:00Z,1.74
2024-12-31T00:40:00Z,3.01
2024-12-31T00:41:00Z,2.09
2024-12-31T00:42:00Z,2.1
2024-12-31T00:43:00Z,2.4
2024-12-31T00:44:00Z,2.46
2024-12-31T00:45:00Z,1.5
2024-12-31T00:46:00Z,0.91
2024-12-31T00:47:00Z,0.37
2024-12-31T00:48:00Z,1.13
2024-12-31T00:49:00Z,0.5
2024-12-31T00:50:00Z,1.11
2024-12-31T00:51:00Z,1.3
2024-12-31T00:52:00Z,1.55
2024-12-31T00:53:00Z,1.59
2024-12-31T00:54:00Z,1.75
2024-12-31T00:55:00Z,1.83
2024-12-31T00:56:00Z,1.52
2024-12-31T00:57:00Z,1.21
2024-12-31T00:58:00Z,0.96
2024-12-31T00:59:00Z,0.76
2024-12-31T01:00:00Z,0.91
2024-12-31T01:01:00Z,0.08
2024-12-31T01:02:00Z,0.4
2024-12-31T01:03:00Z,0.28
2024-12-31T01:04:00Z,0.48
2024-12-31T01:05:00Z,0.21
2024-12-31T01:06:00Z,-0.01
2024-12-31T01:07:00Z,0.12
2024-12-31T01:08:00Z,0.83
2024-12-31T01:09:00Z,1.21
2024-12-31T01:10:00Z,1.39
2024-12-31T01:11:00Z,1.18
2024-12-31T01:12:00Z,1.26
2024-12-31T01:13:00Z,0.28
2024-12-31T01:14:00Z,0.94
2024-12-31T01:15:00Z,0.51
2024-12-31T01:16:00Z,0.71
2024-12-31T01:17:00Z,0.73
2024-12-31T01:18:00Z,-0.58
2024-12-31T01:19:00Z,-0.59
2024-12-31T01:20:00Z,-1.06
2024-12-31T01:21:00Z,0.03
2024-12-31T01:22:00Z,-0.05
2024-12-31T01:23:00Z,0.22
2024-12-31T01:24:00Z,0.22
2024-12-31T01:25:00Z,0.15
2024-12-31T01:26:00Z,
2024-12-31T01:27:00Z,0.55
2024-12-31T01:28:00Z,0.29
2024-12-31T01:29:00Z,0.28
2024-12-31T01:30:00Z,0.33
2024-12-31T01:31:00Z,
2024-12-31T01:32:00Z,0.56
2024-12-31T01:33:00Z,0.31
2024-12-31T01:34:00Z,2.5
2024-12-31T01:35:00Z,2.69
2024-12-31T01:36:00Z,2.62
2024-12-31T01:37:00Z,2.14
2024-12-31T01:38:00Z,2.01
2024-12-31T01:39:00Z,1.95
2024-12-31T01:40:00Z,1.59
2024-12-31T01:41:00Z,1.34
2024-12-31T01:42:00Z,0.86
2024-12-31T01:43:00Z,1.41
2024-12-31T01:44:00Z,1.63
2024-12-31T01:45:00Z,1.53
2024-12-31T01:46:00Z,1.73
2024-12-31T01:47:00Z,1.67
2024-12-31T01:48:00Z,1.28
2024-12-31T01:49:00Z,1.37
2024-12-31T01:50:00Z,1.6
2024-12-31T01:51:00Z,1.77
2024-12-31T01:52:00Z,1.8
2024-12-31T01:53:00Z,1.59
2024-12-31T01:54:00Z,1.64
2024-12-31T01:55:00Z,1.57
2024-12-31T01:56:00Z,1.62
2024-12-31T01:57:00Z,1.35
2024-12-31T01:58:00Z,1.58
2024-12-31T01:59:00Z,1.78
2024-12-31T02:00:00Z,1.5
2024-12-31T02:01:00Z,1.0
2024-12-31T02:02:00Z,1.15
2024-12-31T02:03:00Z,1.51
2024-12-31T02:04:00Z,1.71
2024-12-31T02:05:00Z,2.12
2024-12-31T02:06:00Z,2.01
2024-12-31T02:07:00Z,1.75
2024-12-31T02:08:00Z,1.72
2024-12-31T02:09:00Z,1.97
2024-12-31T02:10:00Z,2.27
2024-12-31T02:11:00Z,2.19
2024-12-31T02:12:00Z,2.07
2024-12-31T02:13:00Z,2.22
2024-12-31T02:14:00Z,2.03
2024-12-31T02:15:00Z,2.06
2024-12-31T02:16:00Z,2.25
2024-12-31T02:17:00Z,2.04
2024-12-31T02:18:00Z,2.11
2024-12-31T02:19:00Z,2.22
2024-12-31T02:20:00Z,1.94
2024-12-31T02:21:00Z,2.05
2024-12-31T02:22:00Z,2.57
2024-12-31T02:23:00Z,2.55
2024-12-31T02:24:00Z,2.7
2024-12-31T02:25:00Z,2.82
2024-12-31T02:26:00Z,3.53
2024-12-31T02:27:00Z,3.04
2024-12-31T02:28:00Z,2.72
2024-12-31T02:29:00Z,2.93
2024-12-31T02:30:00Z,2.8
2024-12-31T02:31:00Z,2.68
2024-12-31T02:32:00Z,3.37
2024-12-31T02:33:00Z,3.43
2024-12-31T02:34:00Z,3.83
2024-12-31T02:35:00Z,3.02
2024-12-31T02:36:00Z,2.61
2024-12-31T02:37:00Z,2.73
2024-12-31T02:38:00Z,2.4
2024-12-31T02:39:00Z,2.28
2024-12-31T02:40:00Z,2.11
2024-12-31T02:41:00Z,2.05
2024-12-31T02:42:00Z,1.8
2024-12-31T02:43:00Z,1.91
2024-12-31T02:44:00Z,1.02
2024-12-31T02:45:00Z,1.3
2024-12-31T02:46:00Z,1.05
2024-12-31T02:47:00Z,1.03
2024-12-31T02:48:00Z,1.02
2024-12-31T02:49:00Z,1.35
2024-12-31T02:50:00Z,2.1
2024-12-31T02:51:00Z,1.53
2024-12-31T02:52:00Z,1.6
2024-12-31T02:53:00Z,1.75
2024-12-31T02:54:00Z,2.03
2024-12-31T02:55:00Z,2.06
2024-12-31T02:56:00Z,2.9
2024-12-31T02:57:00Z,2.35
2024-12-31T02:58:00Z,2.36
2024-12-31T02:59:00Z,2.38
2024-12-31T03:00:00Z,1.99
2024-12-31T03:01:00Z,3.86
2024-12-31T03:02:00Z,3.94
2024-12-31T03:03:00Z,3.43
2024-12-31T03:04:00Z,3.12
2024-12-31T03:05:00Z,3.14
2024-12-31T03:06:00Z,3.45
2024-12-31T03:07:00Z,3.44
2024-12-31T03:08:00Z,3.33
2024-12-31T03:09:00Z,3.49
2024-12-31T03:10:00Z,3.77
2024-12-31T03:11:00Z,3.24
2024-12-31T03:12:00Z,3.4
2024-12-31T03:13:00Z,3.98
2024-12-31T03:14:00Z,3.46
2024-12-31T03:15:00Z,3.33
2024-12-31T03:16:00Z,3.58
2024-12-31T03:17:00Z,3.48
2024-12-31T03:18:00Z,3.15
2024-12-31T03:19:00Z,2.87
2024-12-31T03:20:00Z,3.03
2024-12-31T03:21:00Z,3.25
2024-12-31T03:22:00Z,3.13
2024-12-31T03:23:00Z,2.98
2024-12-31T03:24:00Z,2.99
2024-12-31T03:25:00Z,2.8
2024-12-31T03:26:00Z,3.06
2024-12-31T03:27:00Z,2.71
2024-12-31T03:28:00Z,2.87
2024-12-31T03:29:00Z,2.9
2024-12-31T03:30:00Z,2.96
2024-12-31T03:31:00Z,2.74
2024-12-31T03:32:00Z,2.24
2024-12-31T03:33:00Z,2.27
2024-12-31T03:34:00Z,2.64
2024-12-31T03:35:00Z,2.41
2024-12-31T03:36:00Z,2.63
2024-12-31T03:37:00Z,2.42
2024-12-31T03:38:00Z,2.43
2024-12-31T03:39:00Z,1.74
2024-12-31T03:40:00Z,2.16
2024-12-31T03:41:00Z,2.41
2024-12-31T03:42:00Z,2.54
2024-12-31T03:43:00Z,2.28
2024-12-31T03:44:00Z,2.16
2024-12-31T03:45:00Z,2.2
2024-12-31T03:46:00Z,1.74
2024-12-31T03:47:00Z,1.75
2024-12-31T03:48:00Z,1.83
2024-12-31T03:49:00Z,1.86
2024-12-31T03:50:00Z,1.55
2024-12-31T03:51:00Z,1.43
2024-12-31T03:52:00Z,1.73
2024-12-31T03:53:00Z,1.78
2024-12-31T03:54:00Z,1.56
2024-12-31T03:55:00Z,1.7
2024-12-31T03:56:00Z,1.99
2024-12-31T03:57:00Z,1.93
2024-12-31T03:58:00Z,1.78
2024-12-31T03:59:00Z,1.61
2024-12-31T04:00:00Z,2.02
2024-12-31T04:01:00Z,2.24
2024-12-31T04:02:00Z,2.14
2024-12-31T04:03:00Z,2.1
2024-12-31T04:04:00Z,2.22
2024-12-31T04:05:00Z,2.15
2024-12-31T04:06:00Z,1.75
2024-12-31T04:07:00Z,1.81
2024-12-31T04:08:00Z,1.8
2024-12-31T04:09:00Z,1.84
2024-12-31T04:10:00Z,1.72
2024-12-31T04:11:00Z,1.73
2024-12-31T04:12:00Z,-0.21
2024-12-31T04:13:00Z,1.5
2024-12-31T04:14:00Z,-0.19
2024-12-31T04:15:00Z,-0.81
2024-12-31T04:16:00Z,-0.52
2024-12-31T04:17:00Z,0.58
2024-12-31T04:18:00Z,0.39
2024-12-31T04:19:00Z,0.1
2024-12-31T04:20:00Z,-1.38
2024-12-31T04:21:00Z,0.42
2024-12-31T04:22:00Z,-1.1
2024-12-31T04:23:00Z,-5.45
2024-12-31T04:24:00Z,-6.53
2024-12-31T04:25:00Z,-5.81
2024-12-31T04:26:00Z,-4.7
2024-12-31T04:27:00Z,-4.52
2024-12-31T04:28:00Z,-5.08
2024-12-31T04:29:00Z,-5.11
2024-12-31T04:30:00Z,-4.75
2024-12-31T04:31:00Z,-5.38
2024-12-31T04:32:00Z,-5.53
2024-12-31T04:33:00Z,-5.56
2024-12-31T04:34:00Z,-5.14
2024-12-31T04:35:00Z,-5.86
2024-12-31T04:36:00Z,-5.89
2024-12-31T04:37:00Z,-7.1
2024-12-31T04:38:00Z,-7.16
2024-12-31T04:39:00Z,-7.62
2024-12-31T04:40:00Z,-7.25
2024-12-31T04:41:00Z,-7.11
2024-12-31T04:42:00Z,-7.11
2024-12-31T04:43:00Z,-7.54
2024-12-31T04:44:00Z,-7.76
2024-12-31T04:45:00Z,-7.76
2024-12-31T04:46:00Z,-7.68
2024-12-31T04:47:00Z,-7.51
2024-12-31T04:48:00Z,-7.58
2024-12-31T04:49:00Z,-7.12
2024-12-31T04:50:00Z,-7.0
2024-12-31T04:51:00Z,-6.73
2024-12-31T04:52:00Z,-6.6
2024-12-31T04:53:00Z,-6.31
2024-12-31T04:54:00Z,-5.92
2024-12-31T04:55:00Z,-6.12
2024-12-31T04:56:00Z,-6.3
2024-12-31T04:57:00Z,-6.29
2024-12-31T04:58:00Z,-5.21
2024-12-31T04:59:00Z,-5.65
2024-12-31T05:00:00Z,-5.66
2024-12-31T05:01:00Z,-5.58
2024-12-31T05:02:00Z,-5.52
2024-12-31T05:03:00Z,-5.97
2024-12-31T05:04:00Z,-6.04
2024-12-31T05:05:00Z,-6.14
2024-12-31T05:06:00Z,-6.04
2024-12-31T05:07:00Z,-4.95
2024-12-31T05:08:00Z,-5.38
2024-12-31T05:09:00Z,-6.38
2024-12-31T05:10:00Z,-7.28
2024-12-31T05:11:00Z,-5.97
2024-12-31T05:12:00Z,-6.82
2024-12-31T05:13:00Z,-6.48
2024-12-31T05:14:00Z,-6.31
2024-12-31T05:15:00Z,-2.93
2024-12-31T05:16:00Z,-3.18
2024-12-31T05:17:00Z,-1.91
2024-12-31T05:18:00Z,-0.65
2024-12-31T05:19:00Z,-1.13
2024-12-31T05:20:00Z,-1.47
2024-12-31T05:21:00Z,-0.84
2024-12-31T05:22:00Z,-0.58
2024-12-31T05:23:00Z,-0.39
2024-12-31T05:24:00Z,-0.16
2024-12-31T05:25:00Z,-0.13
2024-12-31T05:26:00Z,0.02
2024-12-31T05:27:00Z,-0.51
2024-12-31T05:28:00Z,-0.59
2024-12-31T05:29:00Z,-0.06
2024-12-31T05:30:00Z,-0.41
2024-12-31T05:31:00Z,-1.01
2024-12-31T05:32:00Z,-0.27
2024-12-31T05:33:00Z,0.49
2024-12-31T05:34:00Z,1.08
2024-12-31T05:35:00Z,1.27
2024-12-31T05:36:00Z,0.92
2024-12-31T05:37:00Z,1.19
2024-12-31T05:38:00Z,1.32
2024-12-31T05:39:00Z,0.31
2024-12-31T05:40:00Z,-0.42
2024-12-31T05:41:00Z,-4.65
2024-12-31T05:42:00Z,-5.29
2024-12-31T05:43:00Z,-4.59
2024-12-31T05:44:00Z,-5.78
2024-12-31T05:45:00Z,-5.62
2024-12-31T05:46:00Z,-4.81
2024-12-31T05:47:00Z,-4.19
2024-12-31T05:48:00Z,-4.42
2024-12-31T05:49:00Z,-4.19
2024-12-31T05:50:00Z,-3.71
2024-12-31T05:51:00Z,-3.75
2024-12-31T05:52:00Z,-3.4
2024-12-31T05:53:00Z,-3.67
2024-12-31T05:54:00Z,-2.91
2024-12-31T05:55:00Z,-3.08
2024-12-31T05:56:00Z,-2.84
2024-12-31T05:57:00Z,-3.2
2024-12-31T05:58:00Z,-3.73
2024-12-31T05:59:00Z,-3.36
2024-12-31T06:00:00Z,-3.83
2024-12-31T06:01:00Z,-5.04
2024-12-31T06:02:00Z,-4.83
2024-12-31T06:03:00Z,-5.28
2024-12-31T06:04:00Z,-4.16
2024-12-31T06:05:00Z,-4.12
2024-12-31T06:06:00Z,-4.36
2024-12-31T06:07:00Z,-3.92
2024-12-31T06:08:00Z,-3.92
2024-12-31T06:09:00Z,-3.99
2024-12-31T06:10:00Z,-3.07
2024-12-31T06:11:00Z,-2.89
2024-12-31T06:12:00Z,-2.96
2024-12-31T06:13:00Z,-2.7
2024-12-31T06:14:00Z,-2.47
2024-12-31T06:15:00Z,-2.36
2024-12-31T06:16:00Z,-2.61
2024-12-31T06:17:00Z,-2.79
2024-12-31T06:18:00Z,-2.68
2024-12-31T06:19:00Z,-3.0
2024-12-31T06:20:00Z,-2.76
2024-12-31T06:21:00Z,-2.92
2024-12-31T06:22:00Z,-3.03
2024-12-31T06:23:00Z,-1.9
2024-12-31T06:24:00Z,-0.52
2024-12-31T06:25:00Z,-1.89
2024-12-31T06:26:00Z,-2.51
2024-12-31T06:27:00Z,-2.66
2024-12-31T06:28:00Z,-2.7
2024-12-31T06:29:00Z,-2.94
2024-12-31T06:30:00Z,-3.28
2024-12-31T06:31:00Z,-3.61
2024-12-31T06:32:00Z,-3.23
2024-12-31T06:33:00Z,-2.79
2024-12-31T06:34:00Z,-3.04
2024-12-31T06:35:00Z,-4.04
2024-12-31T06:36:00Z,-3.37
2024-12-31T06:37:00Z,-3.04
2024-12-31T06:38:00Z,-4.02
2024-12-31T06:39:00Z,-3.81
2024-12-31T06:40:00Z,-3.9
2024-12-31T06:41:00Z,-3.71
2024-12-31T06:42:00Z,-3.64
2024-12-31T06:43:00Z,-3.54
2024-12-31T06:44:00Z,-3.79
2024-12-31T06:45:00Z,-3.81
2024-12-31T06:46:00Z,-4.02
2024-12-31T06:47:00Z,-4.39
2024-12-31T06:48:00Z,-3.88
2024-12-31T06:49:00Z,-4.54
2024-12-31T06:50:00Z,-3.29
2024-12-31T06:51:00Z,-2.94
2024-12-31T06:52:00Z,-3.26
2024-12-31T06:53:00Z,-3.18
2024-12-31T06:54:00Z,-4.25
2024-12-31T06:55:00Z,-3.89
2024-12-31T06:56:00Z,-2.39
2024-12-31T06:57:00Z,-2.22
2024-12-31T06:58:00Z,-3.08
2024-12-31T06:59:00Z,-2.35
2024-12-31T07:00:00Z,-1.61
2024-12-31T07:01:00Z,-1.78
2024-12-31T07:02:00Z,-1.71
2024-12-31T07:03:00Z,-1.65
2024-12-31T07:04:00Z,-1.51
2024-12-31T07:05:00Z,-1.56
2024-12-31T07:06:00Z,-1.69
2024-12-31T07:07:00Z,-1.51
2024-12-31T07:08:00Z,-1.53
2024-12-31T07:09:00Z,-1.33
2024-12-31T07:10:00Z,-1.55
2024-12-31T07:11:00Z,-0.72
2024-12-31T07:12:00Z,-0.6
2024-12-31T07:13:00Z,-0.27
2024-12-31T07:14:00Z,-0.19
2024-12-31T07:15:00Z,-0.17
2024-12-31T07:16:00Z,-0.27
2024-12-31T07:17:00Z,-0.39
2024-12-31T07:18:00Z,-1.24
2024-12-31T07:19:00Z,-1.24
2024-12-31T07:20:00Z,-1.28
2024-12-31T07:21:00Z,-1.08
2024-12-31T07:22:00Z,-1.15
2024-12-31T07:23:00Z,-1.09
2024-12-31T07:24:00Z,-0.91
2024-12-31T07:25:00Z,-0.95
2024-12-31T07:26:00Z,-0.81
2024-12-31T07:27:00Z,-0.93
2024-12-31T07:28:00Z,-0.42
2024-12-31T07:29:00Z,-0.32
2024-12-31T07:30:00Z,-0.12
2024-12-31T07:31:00Z,-0.24
2024-12-31T07:32:00Z,-0.32
2024-12-31T07:33:00Z,-0.96
2024-12-31T07:34:00Z,-0.55
2024-12-31T07:35:00Z,-0.64
2024-12-31T07:36:00Z,-0.42
2024-12-31T07:37:00Z,-0.07
2024-12-31T07:38:00Z,-0.21
2024-12-31T07:39:00Z,-0.33
2024-12-31T07:40:00Z,-0.25
2024-12-31T07:41:00Z,-0.2
2024-12-31T07:42:00Z,-0.07
2024-12-31T07:43:00Z,-0.37
2024-12-31T07:44:00Z,-0.52
2024-12-31T07:45:00Z,-0.7
2024-12-31T07:46:00Z,-0.35
2024-12-31T07:47:00Z,-0.59
2024-12-31T07:48:00Z,-0.25
2024-12-31T07:49:00Z,-1.3
2024-12-31T07:50:00Z,-1.64
2024-12-31T07:51:00Z,-1.03
2024-12-31T07:52:00Z,-0.44
2024-12-31T07:53:00Z,-0.44
2024-12-31T07:54:00Z,-0.71
2024-12-31T07:55:00Z,-0.85
2024-12-31T07:56:00Z,-0.9
2024-12-31T07:57:00Z,-1.1
2024-12-31T07:58:00Z,-1.06
2024-12-31T07:59:00Z,-0.99
2024-12-31T08:00:00Z,-0.65
2024-12-31T08:01:00Z,-0.96
2024-12-31T08:02:00Z,-1.1
2024-12-31T08:03:00Z,-1.06
2024-12-31T08:04:00Z,-1.02
2024-12-31T08:05:00Z,-1.22
2024-12-31T08:06:00Z,-0.85
2024-12-31T08:07:00Z,-1.6
2024-12-31T08:08:00Z,-1.85
2024-12-31T08:09:00Z,-1.82
2024-12-31T08:10:00Z,-1.49
2024-12-31T08:11:00Z,-1.06
2024-12-31T08:12:00Z,-0.94
2024-12-31T08:13:00Z,-1.12
2024-12-31T08:14:00Z,-0.35
2024-12-31T08:15:00Z,-0.06
2024-12-31T08:16:00Z,0.2
2024-12-31T08:17:00Z,-1.05
2024-12-31T08:18:00Z,-0.32
2024-12-31T08:19:00Z,-0.13
2024-12-31T08:20:00Z,-0.5
2024-12-31T08:21:00Z,-0.73
2024-12-31T08:22:00Z,-1.12
2024-12-31T08:23:00Z,-1.63
2024-12-31T08:24:00Z,-1.64
2024-12-31T08:25:00Z,-2.53
2024-12-31T08:26:00Z,-1.99
2024-12-31T08:27:00Z,1.07
2024-12-31T08:28:00Z,0.24
2024-12-31T08:29:00Z,-1.66
2024-12-31T08:30:00Z,-3.79
2024-12-31T08:31:00Z,-5.24
2024-12-31T08:32:00Z,-6.77
2024-12-31T08:33:00Z,-7.43
2024-12-31T08:34:00Z,-7.81
2024-12-31T08:35:00Z,-7.85
2024-12-31T08:36:00Z,-7.87
2024-12-31T08:37:00Z,-7.94
2024-12-31T08:38:00Z,-7.76
2024-12-31T08:39:00Z,-7.74
2024-12-31T08:40:00Z,-7.73
2024-12-31T08:41:00Z,-7.65
2024-12-31T08:42:00Z,-7.43
2024-12-31T08:43:00Z,-7.22
2024-12-31T08:44:00Z,-7.51
2024-12-31T08:45:00Z,-7.82
2024-12-31T08:46:00Z,-7.76
2024-12-31T08:47:00Z,-7.52
2024-12-31T08:48:00Z,-7.43
2024-12-31T08:49:00Z,-7.26
2024-12-31T08:50:00Z,-7.94
2024-12-31T08:51:00Z,-7.87
2024-12-31T08:52:00Z,-7.58
2024-12-31T08:53:00Z,-3.31
2024-12-31T08:54:00Z,-2.89
2024-12-31T08:55:00Z,-3.23
2024-12-31T08:56:00Z,-2.15
2024-12-31T08:57:00Z,-2.54
2024-12-31T08:58:00Z,-0.88
2024-12-31T08:59:00Z,-1.1
2024-12-31T09:00:00Z,-3.26
2024-12-31T09:01:00Z,-3.04
2024-12-31T09:02:00Z,-3.35
2024-12-31T09:03:00Z,-4.22
2024-12-31T09:04:00Z,-4.63
2024-12-31T09:05:00Z,-5.16
2024-12-31T09:06:00Z,-5.3
2024-12-31T09:07:00Z,-3.38
2024-12-31T09:08:00Z,-3.27
2024-12-31T09:09:00Z,-2.38
2024-12-31T09:10:00Z,-2.1
2024-12-31T09:11:00Z,-2.12
2024-12-31T09:12:00Z,-2.05
2024-12-31T09:13:00Z,-1.28
2024-12-31T09:14:00Z,-1.79
2024-12-31T09:15:00Z,-1.64
2024-12-31T09:16:00Z,-0.9
2024-12-31T09:17:00Z,-0.34
2024-12-31T09:18:00Z,-0.75
2024-12-31T09:19:00Z,-1.66
2024-12-31T09:20:00Z,-1.36
2024-12-31T09:21:00Z,-1.64
2024-12-31T09:22:00Z,-1.5
2024-12-31T09:23:00Z,-2.35
2024-12-31T09:24:00Z,-2.04
2024-12-31T09:25:00Z,-2.11
2024-12-31T09:26:00Z,-1.77
2024-12-31T09:27:00Z,-1.79
2024-12-31T09:28:00Z,-1.72
2024-12-31T09:29:00Z,-1.46
2024-12-31T09:30:00Z,-1.51
2024-12-31T09:31:00Z,-1.33
2024-12-31T09:32:00Z,-1.9
2024-12-31T09:33:00Z,-0.51
2024-12-31T09:34:00Z,-0.06
2024-12-31T09:35:00Z,0.12
2024-12-31T09:36:00Z,-3.99
2024-12-31T09:37:00Z,-4.41
2024-12-31T09:38:00Z,-4.9
2024-12-31T09:39:00Z,-6.41
2024-12-31T09:40:00Z,-6.41
2024-12-31T09:41:00Z,-6.86
2024-12-31T09:42:00Z,-7.05
2024-12-31T09:43:00Z,-6.99
2024-12-31T09:44:00Z,-5.55
2024-12-31T09:45:00Z,-4.18
2024-12-31T09:46:00Z,-2.46
2024-12-31T09:47:00Z,-2.01
2024-12-31T09:48:00Z,-2.0
2024-12-31T09:49:00Z,-2.17
2024-12-31T09:50:00Z,-2.18
2024-12-31T09:51:00Z,-2.09
2024-12-31T09:52:00Z,-1.73
2024-12-31T09:53:00Z,-2.75
2024-12-31T09:54:00Z,-2.57
2024-12-31T09:55:00Z,-2.05
2024-12-31T09:56:00Z,-2.11
2024-12-31T09:57:00Z,-2.47
2024-12-31T09:58:00Z,-2.81
2024-12-31T09:59:00Z,-3.09
2024-12-31T10:00:00Z,-3.27
2024-12-31T10:01:00Z,-3.43
2024-12-31T10:02:00Z,-3.58
2024-12-31T10:03:00Z,-2.93
2024-12-31T10:04:00Z,-3.2
2024-12-31T10:05:00Z,-3.23
2024-12-31T10:06:00Z,-2.64
2024-12-31T10:07:00Z,-2.22
2024-12-31T10:08:00Z,-2.39
2024-12-31T10:09:00Z,-1.99
2024-12-31T10:10:00Z,-2.15
2024-12-31T10:11:00Z,-2.11
2024-12-31T10:12:00Z,-1.69
2024-12-31T10:13:00Z,-1.7
2024-12-31T10:14:00Z,-0.33
2024-12-31T10:15:00Z,-0.19
2024-12-31T10:16:00Z,-1.55
2024-12-31T10:17:00Z,-0.88
2024-12-31T10:18:00Z,-0.43
2024-12-31T10:19:00Z,-1.24
2024-12-31T10:20:00Z,0.66
2024-12-31T10:21:00Z,0.11
2024-12-31T10:22:00Z,3.08
2024-12-31T10:23:00Z,3.44
2024-12-31T10:24:00Z,3.91
2024-12-31T10:25:00Z,3.68
2024-12-31T10:26:00Z,3.77
2024-12-31T10:27:00Z,1.26
2024-12-31T10:28:00Z,2.4
2024-12-31T10:29:00Z,0.15
2024-12-31T10:30:00Z,0.01
2024-12-31T10:31:00Z,-0.32
2024-12-31T10:32:00Z,0.26
2024-12-31T10:33:00Z,-0.1
2024-12-31T10:34:00Z,0.65
2024-12-31T10:35:00Z,0.64
2024-12-31T10:36:00Z,0.19
2024-12-31T10:37:00Z,0.59
2024-12-31T10:38:00Z,0.77
2024-12-31T10:39:00Z,1.06
2024-12-31T10:40:00Z,1.56
2024-12-31T10:41:00Z,1.43
2024-12-31T10:42:00Z,1.26
2024-12-31T10:43:00Z,1.15
2024-12-31T10:44:00Z,0.91
2024-12-31T10:45:00Z,1.38
2024-12-31T10:46:00Z,1.25
2024-12-31T10:47:00Z,1.07
2024-12-31T10:48:00Z,0.67
2024-12-31T10:49:00Z,1.29
2024-12-31T10:50:00Z,0.94
2024-12-31T10:51:00Z,0.5
2024-12-31T10:52:00Z,0.17
2024-12-31T10:53:00Z,-0.17
2024-12-31T10:54:00Z,-0.5
2024-12-31T10:55:00Z,-1.06
2024-12-31T10:56:00Z,-1.23
2024-12-31T10:57:00Z,-1.57
2024-12-31T10:58:00Z,-1.82
2024-12-31T10:59:00Z,0.26
2024-12-31T11:00:00Z,0.8
2024-12-31T11:01:00Z,0.62
2024-12-31T11:02:00Z,0.77
2024-12-31T11:03:00Z,0.26
2024-12-31T11:04:00Z,0.34
2024-12-31T11:05:00Z,-0.04
2024-12-31T11:06:00Z,-0.13
2024-12-31T11:07:00Z,-0.55
2024-12-31T11:08:00Z,-1.32
2024-12-31T11:09:00Z,-0.07
2024-12-31T11:10:00Z,0.63
2024-12-31T11:11:00Z,0.99
2024-12-31T11:12:00Z,0.87
2024-12-31T11:13:00Z,1.3
2024-12-31T11:14:00Z,0.94
2024-12-31T11:15:00Z,0.28
2024-12-31T11:16:00Z,1.22
2024-12-31T11:17:00Z,1.09
2024-12-31T11:18:00Z,1.13
2024-12-31T11:19:00Z,1.0
2024-12-31T11:20:00Z,1.23
2024-12-31T11:21:00Z,-0.14
2024-12-31T11:22:00Z,-1.0
2024-12-31T11:23:00Z,0.37
2024-12-31T11:24:00Z,1.5
2024-12-31T11:25:00Z,0.94
2024-12-31T11:26:00Z,1.31
2024-12-31T11:27:00Z,1.14
2024-12-31T11:28:00Z,1.25
2024-12-31T11:29:00Z,1.03
2024-12-31T11:30:00Z,1.48
2024-12-31T11:31:00Z,-0.11
2024-12-31T11:32:00Z,1.55
2024-12-31T11:33:00Z,1.85
2024-12-31T11:34:00Z,0.69
2024-12-31T11:35:00Z,1.91
2024-12-31T11:36:00Z,1.52
2024-12-31T11:37:00Z,2.23
2024-12-31T11:38:00Z,2.72
2024-12-31T11:39:00Z,2.91
2024-12-31T11:40:00Z,2.86
2024-12-31T11:41:00Z,2.6
2024-12-31T11:42:00Z,2.6
2024-12-31T11:43:00Z,2.31
2024-12-31T11:44:00Z,2.24
2024-12-31T11:45:00Z,2.28
2024-12-31T11:46:00Z,2.53
2024-12-31T11:47:00Z,2.35
2024-12-31T11:48:00Z,2.72
2024-12-31T11:49:00Z,2.58
2024-12-31T11:50:00Z,3.17
2024-12-31T11:51:00Z,3.7
2024-12-31T11:52:00Z,4.25
2024-12-31T11:53:00Z,3.09
2024-12-31T11:54:00Z,2.56
2024-12-31T11:55:00Z,2.07
